Collection-Nr.;Collection;Breed;Sex;GLl;GLm;Dl;Bd
O ma 25;Halle;Marsch;m;36.2;35;19.9;24.7
O ma 34;Halle;Marsch;m;36.4;34.8;18.9;23.6
O ma 32;Halle;Marsch;m;37.6;35.2;19.4;24.3
O ma 33;Halle;Marsch;m;36.5;34.8;19.3;23.8
O ma 6;Halle;Marsch;m;37.8;35.2;20.7;23.7
O ma 17;Halle;Marsch;f;35.5;33.4;20.1;23.1
O ma 22;Halle;Marsch;f;36.2;34.7;19.9;23.3
O ma 14;Halle;Marsch;f;32.1;30;17.5;21.1
O ma 11;Halle;Marsch;f;35.3;33.1;20.2;22.9
O ma 2;Halle;Marsch;f;35;32.5;19;21.6
O ma 1;Halle;Marsch;f;33.8;32.3;19.6;23.6
O ma 7;Halle;Marsch;f;33.4;32.9;19.1;22.8
O ma 8;Halle;Marsch;f;34.4;32.6;19.7;21.1
O ma 28;Halle;Marsch;f;34.7;34.7;19.8;24.2
O ma 27;Halle;Marsch;f;36.4;33.9;20.2;24
O ma 35;Halle;Marsch;f;32.3;30.2;17.5;21
O ma 30;Halle;Marsch;f;34.2;32.2;17.8;20.5
O ma 29;Halle;Marsch;f;32.4;30.2;17.4;21.2
O ma 19;Halle;Marsch;f;30.8;29;17.6;20.8
O ma 15;Halle;Marsch;f;32.2;30.4;17.5;21.3
O ma 4;Halle;Marsch;f;35.8;34;20.3;22
O ma 18;Halle;Marsch;f;34.4;32.4;18.8;21.2
O ma 23;Halle;Marsch;f;34.6;32.5;19.3;22.3
