Collection-Nr.;Collection;Breed;Sex;Age;GLl;GLm;Dl;Bd
85.945;London_NHM;Soay;f;c. 5 yrs;24.4;23.3;13.9;15.5
85.944;London_NHM;Soay;m;6 yrs;25.9;25.6;14.8;17.6
85.946;London_NHM;Soay;f;11 yrs;25.3;24.5;14.3;16.5
85.947;London_NHM;Soay;m;8 yrs;25.9;25.1;14.3;16.5
81.284;London_NHM;Soay;f;na;24.1;24;13.2;15.7
81.283;London_NHM;Soay;f;na;23.6;22.9;13.3;15.8
81.282;London_NHM;Soay;f;na;25.4;24.7;14.6;16.6
81.281;London_NHM;Soay;m;na;25.3;25.3;14.2;17.7
80.784;London_NHM;Soay;f;na;24.7;24.2;14;15.6
78.1962;London_NHM;Soay;m;na;24.4;23.4;13.6;16.9
78.1960;London_NHM;Soay;f;na;24.5;24.9;13.9;16
78.1875;London_NHM;Soay;f;na;25.4;24.6;14.6;16.2
81.1720;London_NHM;Soay;m;3 yrs;26.2;25;14;16.6
81.1718;London_NHM;Soay;m;3 yrs;24.1;23.8;13.1;16.1
81.1717;London_NHM;Soay;f;>5yrs;23.3;22.4;13.2;15.8
81.1716;London_NHM;Soay;m;3 yrs;25.9;25.4;14.3;16.6
81.1715;London_NHM;Soay;m;1 yr;24.1;24.3;13.5;15.8
81.1410;London_NHM;Soay;m;8 yrs;26.6;25.6;14.7;16.9
81.1409;London_NHM;Soay;m;3 yrs;26.8;25.6;15.4;18.1
81.1731;London_NHM;Soay;f;7 yrs;24.2;23.6;13.8;15.4
81.1730;London_NHM;Soay;m;3 yrs;24.6;23.8;14.3;16.8
81.1773;London_NHM;Soay;m;5 yrs;25.6;25;14.7;17.1
81.1724;London_NHM;Soay;m;3 yrs;28.1;26.8;15.8;17.8
81.1723;London_NHM;Soay;m;3 yrs;25.5;25.2;13.9;16.5
81.1722;London_NHM;Soay;f;9 yrs;23.3;23.4;13.7;16.1
81.1721;London_NHM;Soay;m;1 yr;24.1;24.2;13.8;16
81.1733;London_NHM;Soay;f;9 yrs;24.5;24;14;16.8
81.1734;London_NHM;Soay;f;11 yrs;23.4;23.1;12.5;15.6
81.1735;London_NHM;Soay;f;9 yrs;24.6;23.9;13.7;15.7
81.1772;London_NHM;Soay;m;appr. 7 yrs;25.7;25.1;14.2;16.7
81.1725;London_NHM;Soay;m;1 yr;24.1;23.6;13.5;16.1
81.1777;London_NHM;Soay;m;1 yr;23.8;23.2;12.8;15.8
81.1776;London_NHM;Soay;m;3 yrs;24.4;23.6;13.4;16.2
81.1758;London_NHM;Soay;m;6 yrs;27;25.6;15;17.4
81.1759;London_NHM;Soay;m;4 yrs;27.2;26;15.3;17.3
81.1760;London_NHM;Soay;m;2 yrs;25;24.2;13.6;16.7
2003.313;London_NHM;Soay;m;na;25.3;24.8;14.5;17.3
82.574;London_NHM;Soay;m;3 yrs 5 mths;27.9;26;15.6;17.6
84.794;London_NHM;Soay;m;na;24.9;24.8;13.8;16.9
84.795;London_NHM;Soay;m;5 yrs;25.6;24.5;13.7;17.1
84.796;London_NHM;Soay;m;7 yrs;26.8;26;15.6;18.3
81.285;London_NHM;Soay;m;na;24.7;24.2;14.2;16.7
81.289a;London_NHM;Soay;m;na;26.2;25.8;14.7;17.2
81.290;London_NHM;Soay;f;na;24.7;23.6;13.6;16.8
81.914a;London_NHM;Soay;f;na;23;22.6;13.1;15.7
81.1339;London_NHM;Soay;m;na;27;25.8;15.3;17.3
81.1719;London_NHM;Soay;f;na;25;23.7;13.5;15.5
78.1626;London_NHM;Soay;f;'yearling';24.1;23.5;13.7;15.9
78.1629f;London_NHM;Soay;f;'yearling';23.9;23.6;13.8;16.1
78.1631;London_NHM;Soay;f;'yearling';24.1;23.3;13.6;15.5
78.1632;London_NHM;Soay;m;na;26.5;25.9;14.5;17.4
78.1636;London_NHM;Soay;f;na;24.1;23.2;13.7;15.9
81.1230;London_NHM;Soay;m;na;25;24.7;13.8;16
